#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 06 16 50 999 99.0 99.0  2.04  8.33  6.38 155 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 17 50 999 99.0 99.0  2.00 10.81  6.38 173 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 18 50 999 99.0 99.0  2.06  9.09  6.29 162 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 19 50 999 99.0 99.0  2.14  9.09  6.65 146 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 20 50 999 99.0 99.0  2.01 10.00  6.50 178 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 21 50 999 99.0 99.0  2.18 17.39  6.64 202 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 22 50 999 99.0 99.0  2.07 17.39  6.67 236 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 06 23 50 999 99.0 99.0  2.30 10.00  6.90 161 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 00 50 999 99.0 99.0  2.50 10.00  7.13 163 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 01 50 999 99.0 99.0  2.05 10.00  6.53 172 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 02 50 999 99.0 99.0  2.10 10.00  6.39 177 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 03 50 999 99.0 99.0  2.03 10.00  6.34 189 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 04 50 999 99.0 99.0  2.20 16.00  6.80 224 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 05 50 999 99.0 99.0  2.00 16.00  6.67 243 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 06 50 999 99.0 99.0  2.14 16.00  7.02 225 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 07 50 999 99.0 99.0  2.19 16.00  7.14 223 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 08 50 999 99.0 99.0  2.10 16.00  6.96 240 9999.0 999.0 999.0 999.0 99.0 99.00
